Country,City,AccentCity,Region,Population,Latitude,Longitude
ch,boudevilliers,Boudevilliers,12,,47.027376,6.889481
ch,boudry,Boudry,12,5038,46.953019,6.83897
ch,bourg-saint-pierre,Bourg-Saint-Pierre,22,,45.949168,7.207757
ch,bourg san pierre,Bourg San Pierre,22,,45.949168,7.207757
ch,bouveret,Bouveret,23,,46.38459,6.853274
ch,bovernier,Bovernier,22,,46.080454,7.087378
ch,bowil,Bowil,05,,46.89304,7.697566
ch,bozen,Bozen,01,,47.495284,8.083328
ch,brail,Brail,09,,46.655524,10.035129
ch,bramis,Bramis,22,,46.232644,7.40341
ch,bramois,Bramois,22,,46.232644,7.40341
ch,brand,Brand,09,,46.637163,9.171158
ch,bratsch,Bratsch,22,,46.321046,7.708891
ch,braunwald,Braunwald,08,,46.939053,8.993744
ch,bre,Bre,20,,46.011381,8.997427
ch,brecholey,Brecholey,22,,46.024583,7.320313
ch,breibe,Breibe,25,,47.460902,8.660313
ch,breil,Breil,08,,46.769861,9.06036
ch,breite,Breite,25,,47.460902,8.660313
ch,breitenbach,Breitenbach,04,,47.405639,7.54382
ch,breitenfeld,Breitenfeld,14,,46.784859,8.102228
ch,bremgarten,Bremgarten,01,6702,47.352604,8.329955
ch,bremgarten,Bremgarten,05,,46.978032,7.438523
ch,bremis,Bremis,22,,46.232644,7.40341
ch,brenles,Brenles,23,,46.670557,6.853265
ch,breno,Breno,20,,46.032325,8.869836
ch,brenzikofen,Brenzikofen,05,,46.818119,7.61713
ch,bre sopra lugano,Bre sopra Lugano,20,,46.011381,8.997427
ch,bretzwil,Bretzwil,01,,47.397834,7.652216
ch,brienz,Brienz,09,,46.668331,9.595099
ch,brienz,Brienz,14,,46.766667,8.033333
ch,brienzwiler,Brienzwiler,14,,46.750845,8.101389
ch,brienzwiler-dorf,Brienzwiler-Dorf,14,,46.750845,8.101389
ch,brig,Brig,22,,46.317751,7.988058
ch,brigels,Brigels,08,,46.769861,9.06036
ch,brigerbad,Brigerbad,22,,46.299705,7.918587
ch,brignon,Brignon,22,,46.189799,7.325767
ch,brigue,Brigue,22,,46.317751,7.988058
ch,brione,Brione,20,,46.298481,8.792143
ch,brislach,Brislach,04,,47.417699,7.542032
ch,brissago,Brissago,20,,46.120565,8.710794
ch,bristen,Bristen,21,,46.769105,8.690263
ch,brittnau,Brittnau,01,,47.260999,7.946586
ch,broc,Broc,06,,46.605135,7.098908
ch,broch,Broch,14,,46.678785,8.141171
ch,broglio,Broglio,20,,46.377284,8.661091
ch,bronschhofen,Bronschhofen,19,,47.478084,9.035684
ch,brontallo,Brontallo,20,,46.355367,8.627485
ch,brot-dessous,Brot-Dessous,12,,46.955845,6.748156
ch,brot-plamboz,Brot-Plamboz,12,,46.980265,6.73774
ch,brucke,Brucke,00,,49.866667,9.883333
ch,brugg,Brugg,01,9159,47.481527,8.203014
ch,brugg,Brugg,05,,47.123408,7.275955
ch,bruggen,Bruggen,15,,47.410247,9.335704
ch,brunigen,Brunigen,14,,46.751422,8.136785
ch,brunnadern,Brunnadern,02,,47.335446,9.131195
ch,brunnen,Brunnen,17,,46.997725,8.60432
ch,brunnenthal,Brunnenthal,05,,47.086674,7.468571
ch,brusino arsizio,Brusino Arsizio,20,,45.928513,8.938628
ch,brusio,Brusio,09,,46.257668,10.126045
ch,bruson,Bruson,22,,46.066497,7.218158
ch,bruttelen,Bruttelen,14,,47.022691,7.147928
